"","siteref","x","y","site_id","habitat","area","rubble","k","Reef","reef_siteid","long","lat"
"157","L_97",24,56,"1_BR_6","Back Reef",6962.20320268394,FALSE,23.6,19147100104,"19147100104_1_BR_6",149.652003314342,-19.6270442347843
"158","L_97",24,56,"1_SS_9","Sheltered Slope",50394.0459852447,FALSE,41.9150943396226,19147100104,"19147100104_1_SS_9",149.653287120749,-19.6280917885833
"159","L_98",28,48,"1_BR_7","Back Reef",31170.7160682892,FALSE,20.9131736526946,19147100104,"19147100104_1_BR_7",149.685676399675,-19.6341005243354
"160","L_98",28,48,"1_S_15","Slope",91191.6437975946,FALSE,19.3422404933196,19147100104,"19147100104_1_S_15",149.685320649718,-19.6347469681057
"161","L_99",29,47,"1_BR_8","Back Reef",32829.9989940869,FALSE,30.3834808259587,19147100104,"19147100104_1_BR_8",149.691285932231,-19.6355293530638
"162","L_99",29,47,"1_S_17","Slope",72292.4179597581,FALSE,19.727626459144,19147100104,"19147100104_1_S_17",149.69076297118,-19.6357478413929
"163","L_100",23,54,"1_BR_9","Back Reef",32495.2394233709,FALSE,16.5160349854227,19147100104,"19147100104_1_BR_9",149.653981527515,-19.6374564863404
"164","L_100",23,54,"1_P_1","Patch",4973.6989952689,FALSE,46.1538461538462,19147100104,"19147100104_1_P_1",149.655542536961,-19.6361944442769
"165","L_100",23,54,"1_SS_8","Sheltered Slope",35809.9886321132,FALSE,39.1472868217054,19147100104,"19147100104_1_SS_8",149.653861809023,-19.6353097487924
"166","L_100",23,54,"1_S_6","Slope",213876.220383856,FALSE,17.6892778993435,19147100104,"19147100104_1_S_6",149.656113593246,-19.6384482007183
"167","L_101",29,57,"1_C_1","Crest",148828.958110985,FALSE,39.1959798994975,19147100104,"19147100104_1_C_1",149.657988991175,-19.611463421118
"168","L_101",29,57,"1_S_12","Slope",28506.8511917647,FALSE,36.1400651465798,19147100104,"19147100104_1_S_12",149.661565470149,-19.6122061997037
"169","L_102",29,54,"1_C_2","Crest",112384.375187695,FALSE,36.5752285951787,19147100104,"19147100104_1_C_2",149.668205220596,-19.6197285734871
"170","L_102",29,54,"1_S_20","Slope",55696.0671328623,FALSE,20.7335581787521,19147100104,"19147100104_1_S_20",149.669950472645,-19.6207940495057
"171","L_103",29,56,"1_C_3","Crest",111380.66055189,FALSE,31.1918850380389,19147100104,"19147100104_1_C_3",149.663499675729,-19.6149812924375
"172","L_104",31,49,"1_C_6","Crest",120688.867402504,FALSE,39.5042602633617,19147100104,"19147100104_1_C_6",149.688449307262,-19.6247277509124
"173","L_105",26,46,"1_C_7","Crest",123047.596275013,FALSE,6.12088752869166,19147100104,"19147100104_1_C_7",149.686690269982,-19.647056865808
"174","L_105",26,46,"1_S_11","Slope",54393.7784162131,FALSE,23.9401709401709,19147100104,"19147100104_1_S_11",149.687343858302,-19.6479148364262
"175","L_106",31,48,"1_C_8","Crest",45427.034952384,FALSE,17.8778467908903,19147100104,"19147100104_1_C_8",149.6927386576,-19.6283127730131
"176","L_106",31,48,"1_S_14","Slope",59352.7107130131,FALSE,24.9135220125786,19147100104,"19147100104_1_S_14",149.693182902621,-19.627174714034
"177","L_107",30,49,"1_IF_1","Inner Flat",156507.27099895,FALSE,67.3860911270983,19147100104,"19147100104_1_IF_1",149.688321992184,-19.6291396646083
