Year,maxDHW,RCP,Reef
2035,2.284586897,8.5,Milln
2036,5.1036193,8.5,Milln
2037,12.77476335,8.5,Milln
2038,12.73879596,8.5,Milln
2039,0.60350854,8.5,Milln
2040,1.777368876,8.5,Milln
2041,2.109399309,8.5,Milln
2042,13.96629088,8.5,Milln
2043,14.32010365,8.5,Milln
2044,12.1707867,8.5,Milln
2045,2.91750608,8.5,Milln
2046,13.9652462,8.5,Milln
2047,11.94066336,8.5,Milln
2048,15.51509248,8.5,Milln
2049,20.46737101,8.5,Milln
2050,3.652424853,8.5,Milln
2051,8.647869462,8.5,Milln
2052,20.22965764,8.5,Milln
2053,26.49379902,8.5,Milln
2054,20.22761583,8.5,Milln
2055,16.99267109,8.5,Milln
2056,15.26389912,8.5,Milln
2057,21.77554008,8.5,Milln
2058,16.70554161,8.5,Milln
2059,23.64238546,8.5,Milln
2060,16.93706327,8.5,Milln
2061,11.37183736,8.5,Milln
2062,19.89902792,8.5,Milln
2063,23.96498527,8.5,Milln
2064,26.78006095,8.5,Milln
2065,20.91860856,8.5,Milln
2066,6.30133868,8.5,Milln
2067,19.59113291,8.5,Milln
2068,23.59343299,8.5,Milln
2069,25.97401998,8.5,Milln
2070,29.55464155,8.5,Milln
2071,26.72179239,8.5,Milln
2072,23.25272166,8.5,Milln
2073,22.8116621,8.5,Milln
2074,22.31506482,8.5,Milln
2075,29.5918099,8.5,Milln
2076,15.86492408,8.5,Milln
2077,25.24685113,8.5,Milln
2078,30.47206581,8.5,Milln
2079,26.49765429,8.5,Milln
2080,23.64166825,8.5,Milln
2081,30.18321568,8.5,Milln
2082,27.74882213,8.5,Milln
2083,28.05697476,8.5,Milln
2084,22.49033888,8.5,Milln
2085,33.59289719,8.5,Milln
2086,30.76083202,8.5,Milln
2087,26.77612116,8.5,Milln
2088,17.36706573,8.5,Milln
2089,31.21619024,8.5,Milln
2090,30.67333484,8.5,Milln
2091,22.36260537,8.5,Milln
2092,33.10046596,8.5,Milln
2093,27.98376734,8.5,Milln
2094,34.68069396,8.5,Milln
2095,34.01873528,8.5,Milln
2096,31.64056304,8.5,Milln
2097,26.16377685,8.5,Milln
2098,36.03949754,8.5,Milln
2099,40.90874185,8.5,Milln
2021,0,2.6,Thetford
2022,1.521229711,2.6,Thetford
2023,3.901789088,2.6,Thetford
2024,7.353967797,2.6,Thetford
2025,0.638812662,2.6,Thetford
2026,0.638812662,2.6,Thetford
2027,4.281240505,2.6,Thetford
2028,9.113119982,2.6,Thetford
2029,0,2.6,Thetford
2030,9.569207656,2.6,Thetford
2031,2.227769313,2.6,Thetford
2032,1.802286865,2.6,Thetford
2033,1.328278522,2.6,Thetford
2034,3.964219416,2.6,Thetford
2035,0,2.6,Thetford
2036,0,2.6,Thetford
2037,0,2.6,Thetford
2038,11.35063758,2.6,Thetford
2039,0.44840631,2.6,Thetford
2040,0.808718156,2.6,Thetford
2041,0,2.6,Thetford
2042,10.56434795,2.6,Thetford
2043,1.029830025,2.6,Thetford
2044,5.85252747,2.6,Thetford
2045,0,2.6,Thetford
2046,2.201388555,2.6,Thetford
2047,0,2.6,Thetford
2048,6.746000027,2.6,Thetford
