"","lat","long","siteref","site_id","habitat","area","rubble","k","Reef","reef_siteid","x","y"
"138",-19.6065409984809,149.7184068292,"L_138","1_C_2","Crest",46080.018598286,FALSE,18.2926829268293,19149100104,"19149100104_1_C_2",40,46
"139",-19.6103682437229,149.730796427811,"L_139","1_C_3","Crest",62993.0205686009,FALSE,22.5563909774436,19149100104,"19149100104_1_C_3",41,43
"140",-19.6126484932964,149.721677753238,"L_140","1_IF_1","Inner Flat",263576.61606977,FALSE,66.1095305832148,19149100104,"19149100104_1_IF_1",39,45
"141",-19.6098819269228,149.727999260991,"L_141","1_OF_2","Outer Flat",214835.917562255,FALSE,52.7486910994764,19149100104,"19149100104_1_OF_2",40,44
"142",-19.6135584208401,149.725987213877,"L_142","1_OF_3","Outer Flat",225455.24776572,FALSE,52.8651685393258,19149100104,"19149100104_1_OF_3",39,44
"143",-19.6154310635703,149.733084544136,"L_143","1_P_1","Patch",2984.11427293019,FALSE,12.5,19149100104,"19149100104_1_P_1",40,42
"144",-19.611574049222,149.716571578703,"L_144","1_SS_1","Sheltered Slope",58018.1618400393,FALSE,25.3241491085899,19149100104,"19149100104_1_SS_1",38,46
"145",-19.6159597304781,149.726110621536,"L_145","1_SS_2","Sheltered Slope",5305.0104049854,FALSE,40.3508771929825,19149100104,"19149100104_1_SS_2",39,43
"146",-19.6136591938429,149.731958099605,"L_146","1_S_2","Slope",315643.968371521,FALSE,18.3239311163895,19149100104,"19149100104_1_S_2",40,43
"147",-19.6141403550661,149.718054803078,"L_147","1_S_5","Slope",23208.2139471639,FALSE,40.6224899598394,19149100104,"19149100104_1_S_5",38,45
"148",-19.624430085313,149.724641713493,"L_148","1_S_1","Slope",125676.761011461,FALSE,18.9375928677563,19150100104,"19150100104_1_S_1",37,42
"149",-19.6401715703713,149.758221523143,"L_149","1_C_1","Crest",100839.996653914,FALSE,25.6529850746269,19153100104,"19153100104_1_C_1",39,33
"150",-19.6406737099362,149.755828842747,"L_150","1_SS_1","Sheltered Slope",16917.2235176032,FALSE,23.1741573033708,19153100104,"19153100104_1_SS_1",39,34
"151",-19.6396783454486,149.760213934026,"L_151","1_S_1","Slope",112118.105851585,FALSE,26.3242784380306,19153100104,"19153100104_1_S_1",40,33
"152",-19.651558465379,149.717327895413,"L_152","1_BR_1","Back Reef",3317.19068205403,FALSE,29.7058823529412,19155100104,"19155100104_1_BR_1",30,39
