,lat,long,siteref,site_id,habitat,area,rubble,k,Reef,reef_siteid,x,y,recom_connectivity,sitedepth
167,-19.6531371,149.7477746,L_167,1_OF_4,Outer Flat,89575.05317,FALSE,61.42335766,19156100104,19156100104_1_OF_4,35,33,L_167_V1,0
168,-19.67025443,149.7491371,L_168,1_OF_5,Outer Flat,54753.66271,FALSE,35.10273973,19156100104,19156100104_1_OF_5,31,30,L_168_V1,0
169,-19.64536624,149.7566757,L_169,1_SS_4,Sheltered Slope,24216.50787,FALSE,34.63178295,19156100104,19156100104_1_SS_4,38,33,L_169_V1,0
170,-19.65139992,149.757473,L_170,1_S_1,Slope,84267.51504,FALSE,35.09988901,19156100104,19156100104_1_S_1,37,32,L_170_V1,0
171,-19.67777861,149.7502611,L_171,1_S_10,Slope,78654.72944,FALSE,22.71971496,19156100104,19156100104_1_S_10,30,29,L_171_V1,0
172,-19.66968423,149.7413778,L_172,1_S_11,Slope,51433.54657,FALSE,22.02727273,19156100104,19156100104_1_S_11,30,32,L_172_V1,0
173,-19.66676893,149.7509658,L_173,1_S_2,Slope,48446.62318,FALSE,29.73988439,19156100104,19156100104_1_S_2,32,31,L_173_V1,0
174,-19.67083834,149.7642709,L_174,1_S_6,Slope,67699.32393,FALSE,32.28472222,19156100104,19156100104_1_S_6,34,27,L_174_V1,0
175,-19.67500052,149.7632181,L_175,1_S_7,Slope,53764.17182,FALSE,41.20659722,19156100104,19156100104_1_S_7,33,27,L_175_V1,0
176,-19.66006364,149.7516378,L_176,1_S_8,Slope,57068.87609,FALSE,31.06260297,19156100104,19156100104_1_S_8,34,31,L_176_V1,0
177,-19.66304179,149.5738868,L_177,1_BR_1,Back Reef,16580.68298,FALSE,8.47826087,19157100104,19157100104_1_BR_1,4,66,L_177_V1,0
